training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.4560248,1.9144552,-10.420369,-80.420425,-95.85665,20.627005,-10.414216,152.79285,-11.048444,-80.295074,-95.76822,0.10449292,0.0017332085609436036,1446.1894371509552,620000
0.45905027,1.0042961,-1.716194,-79.72879,-95.66075,6.4728155,-5.9426003,73.475815,-1.85267,-79.436195,-95.606255,0.056237757,0.001773858642578125,1455.058734178543,625000
0.4211954,0.5968245,-8.678003,-81.50266,-95.596245,2.6388066,-2.879163,39.23088,-3.482808,-81.24704,-95.63924,0.07492788,0.0017816622257232665,1463.967048883438,630000
0.4991223,1.4016156,0.12804735,-80.8201,-95.659004,7.122534,-7.3936234,69.28646,-0.32506832,-80.6077,-95.582016,0.05262982,0.0017328186988830566,1472.631145477295,635000
0.4314533,2.4949088,-5.043287,-82.71496,-95.58172,20.270016,-17.035582,147.54802,-4.064375,-82.41645,-95.53721,0.07380508,0.0017533323287963866,1481.397810459137,640000
0.4247831,1.0355606,0.0,-80.405174,-96.64749,5.962972,-18.76679,76.413734,-0.15954033,-80.215515,-96.61432,0.068825305,0.001705384635925293,1489.924736738205,645000
0.40738884,0.79555297,-7.5565825,-77.80914,-95.5507,3.184765,-6.6512246,46.542477,-6.3223166,-77.636894,-95.492935,0.08755119,0.0017101165771484376,1498.4753234386444,650000
0.44884393,1.2343907,0.0,-80.953285,-95.436905,6.544364,-7.682082,67.93783,-0.08498278,-80.75612,-95.40387,0.08205599,0.0017340024471282959,1507.1453392505646,655000
0.4337176,1.3558005,-10.214962,-77.83035,-95.48322,9.535539,-6.606695,64.206436,-8.8055935,-77.57876,-95.438225,0.09831652,0.0017171512603759765,1515.7310991287231,660000
0.39377397,1.3867128,-9.928253,-79.90485,-95.555664,19.944437,-7.0772085,111.877914,-2.714458,-79.622406,-95.470436,0.23742679,0.001699096441268921,1524.226585149765,665000
0.4103457,0.8719547,-18.500937,-81.620865,-96.18528,5.9854074,-3.8916554,53.96122,-17.674656,-81.423065,-96.067665,0.06180886,0.0017410627365112305,1532.9319016933441,670000
0.43251082,2.0623345,-14.351696,-80.507965,-95.53965,28.815002,-15.857339,127.0498,-13.5510235,-80.29442,-95.51276,0.065810904,0.0017701565742492677,1541.7826883792877,675000
0.44896477,0.7673285,0.0,-80.425896,-95.53785,5.2124267,-5.2268777,61.66369,-0.0405813,-80.24128,-95.48397,0.061911885,0.0017571905612945556,1550.5686445236206,680000
0.43179527,0.96873015,-10.921039,-79.73425,-95.5517,6.586816,-6.5718904,75.37194,-11.935389,-79.556885,-95.49291,0.056209043,0.0017090929985046387,1559.1141126155853,685000
0.43540013,0.8685989,-9.32116,-79.037735,-95.69882,5.8106623,-4.8487372,65.11945,-5.2962346,-78.826645,-95.676125,0.10339812,0.001732022714614868,1567.7742297649384,690000
0.44023326,1.1741076,-2.5963302,-78.958046,-96.48234,6.5777407,-4.2824793,79.33492,-5.5251665,-78.76369,-96.43994,0.15690434,0.0017039095878601074,1576.2937808036804,695000
0.41878733,0.89904827,-5.365062,-79.413246,-95.645424,10.636747,-4.046966,74.54079,-8.350851,-79.23418,-95.60246,0.10405379,0.001711471700668335,1584.8511424064636,700000
0.47253776,0.7955979,0.0,-80.24166,-95.74183,3.592277,-2.200572,41.73962,2.1761367,-80.02871,-95.68868,0.09158833,0.009236098909378052,1631.0316400527954,705000
0.3838879,0.7147238,0.0,-77.509254,-96.44646,6.2531486,-9.407039,74.413734,-0.7689257,-77.26201,-96.25156,0.050781637,0.0016215346813201904,1639.1393172740936,710000
